Epoch,Joint,Rec,KLD
1,1896.463,1.948,16.758
2,619.729,0.636,5.909
3,490.011,0.506,0.442
4,483.448,0.500,0.627
5,479.557,0.495,1.424
6,518.968,0.530,8.934
7,453.140,0.468,1.268
8,448.206,0.463,1.307
9,444.761,0.460,1.357
10,439.597,0.455,1.363
11,435.096,0.450,1.437
12,428.405,0.444,1.345
13,423.784,0.439,1.340
14,420.172,0.435,1.395
15,417.874,0.433,1.436
16,415.208,0.430,1.455
17,412.577,0.428,1.480
18,410.389,0.426,1.480
19,407.044,0.422,1.525
20,404.634,0.420,1.513
21,401.415,0.417,1.518
22,400.137,0.416,1.522
23,397.193,0.413,1.512
24,394.928,0.410,1.495
25,391.312,0.407,1.523
26,389.001,0.404,1.552
27,384.164,0.400,1.576
28,382.850,0.398,1.593
29,378.014,0.393,1.620
30,377.225,0.393,1.600
31,375.666,0.391,1.600
32,373.793,0.389,1.594
33,373.193,0.389,1.585
34,369.735,0.385,1.584
35,370.882,0.387,1.607
36,367.570,0.383,1.584
37,366.825,0.383,1.586
38,367.342,0.384,1.557
39,365.340,0.382,1.566
40,363.744,0.380,1.563
41,362.979,0.379,1.577
42,363.514,0.380,1.539
43,360.560,0.377,1.546
44,360.804,0.378,1.542
45,358.755,0.375,1.551
46,359.837,0.377,1.522
47,360.412,0.378,1.527
48,356.663,0.374,1.513
49,355.606,0.373,1.514
50,355.657,0.373,1.520
51,354.171,0.372,1.505
52,352.689,0.370,1.485
53,351.917,0.369,1.504
54,352.213,0.370,1.488
55,349.915,0.368,1.482
56,350.027,0.368,1.472
57,347.720,0.366,1.457
58,347.111,0.365,1.462
59,345.919,0.364,1.444
60,344.406,0.363,1.461
61,343.385,0.362,1.443
62,342.697,0.361,1.436
63,341.802,0.360,1.438
64,341.231,0.360,1.441
65,340.052,0.359,1.446
66,338.790,0.357,1.456
67,340.388,0.359,1.441
68,337.915,0.357,1.440
69,338.061,0.357,1.431
70,336.528,0.356,1.446
71,334.733,0.354,1.449
72,334.489,0.354,1.464
73,332.352,0.352,1.428
74,333.152,0.353,1.423
75,332.831,0.352,1.433
76,330.004,0.349,1.434
77,330.787,0.350,1.421
78,329.168,0.349,1.416
79,328.276,0.348,1.405
80,329.071,0.349,1.399
81,327.915,0.348,1.395
82,325.925,0.346,1.389
83,327.003,0.347,1.387
84,326.761,0.347,1.416
85,324.175,0.344,1.386
86,324.912,0.345,1.381
87,325.297,0.346,1.372
88,324.254,0.345,1.409
89,322.395,0.343,1.375
90,327.128,0.348,1.360
91,322.194,0.343,1.382
92,321.963,0.343,1.364
93,321.230,0.342,1.372
94,319.709,0.341,1.374
95,320.181,0.341,1.376
96,319.491,0.341,1.370
97,318.481,0.340,1.339
98,317.945,0.340,1.350
99,317.355,0.339,1.350
100,316.010,0.338,1.354
101,317.929,0.340,1.337
102,316.151,0.338,1.319
103,315.732,0.338,1.326
104,314.391,0.336,1.346
105,314.992,0.337,1.315
106,314.916,0.337,1.337
107,316.002,0.339,1.322
108,312.605,0.335,1.343
109,312.484,0.335,1.308
110,310.422,0.333,1.327
111,311.227,0.334,1.312
112,310.396,0.333,1.309
113,312.121,0.335,1.291
114,309.488,0.333,1.314
115,310.470,0.334,1.320
116,308.899,0.332,1.308
117,307.411,0.331,1.293
118,308.031,0.331,1.325
119,308.062,0.332,1.312
120,306.722,0.330,1.288
121,305.259,0.329,1.291
122,308.970,0.333,1.311
123,306.653,0.331,1.281
124,306.189,0.330,1.282
125,305.343,0.330,1.273
126,304.530,0.329,1.272
127,307.100,0.332,1.261
128,302.583,0.327,1.281
129,302.480,0.327,1.277
130,303.860,0.329,1.273
131,302.818,0.328,1.260
132,300.535,0.325,1.279
133,302.824,0.328,1.261
134,302.546,0.328,1.265
135,299.866,0.325,1.249
136,300.390,0.326,1.272
137,299.992,0.325,1.272
138,298.809,0.324,1.248
139,299.395,0.325,1.241
140,300.584,0.327,1.242
141,298.348,0.324,1.249
142,297.892,0.324,1.236
143,296.891,0.323,1.249
144,297.376,0.324,1.234
145,295.741,0.322,1.226
146,294.897,0.321,1.228
147,295.856,0.322,1.223
148,296.799,0.324,1.214
149,295.904,0.323,1.221
150,294.718,0.321,1.222
151,293.561,0.320,1.213
152,293.741,0.321,1.205
153,292.726,0.320,1.206
154,292.394,0.319,1.209
155,295.916,0.324,1.201
156,293.677,0.321,1.218
157,291.496,0.319,1.194
158,295.562,0.324,1.175
159,292.071,0.320,1.181
160,291.327,0.319,1.180
161,291.673,0.320,1.172
162,290.043,0.318,1.199
163,290.278,0.318,1.205
164,292.132,0.321,1.180
165,290.198,0.319,1.179
166,289.912,0.318,1.173
167,289.754,0.318,1.173
168,292.341,0.322,1.147
169,288.433,0.317,1.169
170,289.055,0.318,1.166
171,287.589,0.317,1.163
172,288.049,0.317,1.157
173,288.288,0.318,1.154
174,287.127,0.316,1.163
175,287.116,0.317,1.147
176,285.901,0.315,1.142
177,288.519,0.319,1.133
178,287.286,0.317,1.130
179,286.245,0.316,1.126
180,284.966,0.315,1.124
181,285.376,0.316,1.124
182,284.041,0.314,1.122
183,285.470,0.316,1.184
184,284.920,0.316,1.113
185,285.528,0.316,1.114
186,282.620,0.313,1.109
187,283.701,0.315,1.114
188,283.645,0.315,1.089
189,283.904,0.315,1.092
190,281.708,0.313,1.098
191,282.892,0.314,1.085
192,282.990,0.315,1.093
193,283.191,0.315,1.082
194,282.558,0.314,1.111
195,282.825,0.315,1.088
196,281.382,0.313,1.080
197,280.949,0.313,1.079
198,281.731,0.314,1.072
199,281.392,0.314,1.074
200,282.174,0.315,1.081
201,279.837,0.312,1.078
202,280.733,0.313,1.083
203,280.855,0.314,1.084
204,278.947,0.312,1.073
205,277.938,0.311,1.052
206,278.570,0.312,1.049
207,277.923,0.311,1.049
208,278.896,0.312,1.055
209,279.413,0.313,1.052
210,278.851,0.313,1.047
211,278.468,0.312,1.033
212,277.501,0.311,1.041
213,278.034,0.312,1.039
214,276.771,0.311,1.033
215,275.702,0.310,1.041
216,276.597,0.311,1.030
217,276.967,0.312,1.025
218,278.883,0.314,1.026
219,274.282,0.309,1.037
220,275.620,0.310,1.040
221,274.563,0.309,1.024
222,274.207,0.309,1.013
223,274.134,0.309,1.004
224,274.495,0.310,1.005
225,273.418,0.309,1.005
226,274.568,0.310,1.007
227,273.409,0.309,1.021
228,274.915,0.311,1.005
229,272.620,0.308,0.995
230,273.086,0.309,0.996
231,273.860,0.310,0.972
232,274.457,0.311,0.978
233,271.612,0.308,0.988
234,273.019,0.310,0.994
235,272.149,0.309,0.995
236,272.677,0.310,0.978
237,271.903,0.309,0.972
238,271.197,0.308,0.972
239,272.122,0.309,0.968
240,272.545,0.310,0.965
241,270.804,0.308,0.963
242,271.091,0.309,0.960
243,271.280,0.309,0.961
244,271.385,0.309,0.943
245,270.110,0.308,0.953
246,269.987,0.308,0.948
247,267.965,0.306,0.949
248,268.784,0.307,0.949
249,270.427,0.309,0.946
250,270.443,0.309,0.925
251,267.749,0.306,0.943
252,268.094,0.307,0.944
253,268.053,0.307,0.924
254,266.888,0.306,0.937
255,267.269,0.306,0.932
256,268.144,0.307,0.939
257,267.060,0.306,0.926
258,265.294,0.304,0.922
259,266.433,0.306,0.912
260,266.835,0.307,0.920
261,267.221,0.307,0.911
262,265.930,0.306,0.908
263,267.672,0.308,0.899
264,269.508,0.310,0.911
265,263.842,0.304,0.906
266,267.280,0.308,0.897
267,265.415,0.306,0.895
268,265.131,0.306,0.898
269,264.859,0.306,0.896
270,264.206,0.305,0.895
271,263.622,0.305,0.893
272,263.642,0.305,0.891
273,263.640,0.305,0.882
274,263.694,0.305,0.884
275,263.765,0.305,0.881
276,262.962,0.305,0.879
277,263.900,0.306,0.874
278,262.551,0.305,0.869
279,266.421,0.309,0.867
280,263.034,0.305,0.874
281,262.280,0.305,0.876
282,261.868,0.304,0.871
283,261.956,0.305,0.872
284,260.455,0.303,0.861
285,262.986,0.306,0.854
286,261.904,0.305,0.858
287,263.661,0.307,0.857
288,260.960,0.304,0.867
289,259.580,0.303,0.864
290,259.296,0.303,0.848
291,259.962,0.304,0.844
292,262.056,0.306,0.845
293,261.211,0.305,0.844
294,259.680,0.304,0.848
295,260.368,0.305,0.840
296,259.983,0.305,0.831
297,259.056,0.304,0.818
298,258.962,0.304,0.836
299,257.808,0.302,0.827
300,257.981,0.303,0.829
301,258.448,0.303,0.830
302,257.662,0.303,0.812
303,255.885,0.301,0.815
304,257.955,0.303,0.816
305,257.443,0.303,0.810
306,257.506,0.303,0.815
307,257.226,0.303,0.812
308,256.748,0.303,0.805
309,256.252,0.302,0.801
310,257.076,0.303,0.825
311,256.353,0.303,0.795
312,257.841,0.305,0.800
313,256.119,0.303,0.804
314,256.040,0.303,0.790
315,255.766,0.303,0.798
316,254.202,0.301,0.796
317,254.601,0.302,0.787
318,254.215,0.301,0.791
319,253.936,0.301,0.792
320,257.821,0.306,0.776
321,253.932,0.301,0.779
322,256.178,0.304,0.784
323,253.297,0.301,0.785
324,253.923,0.302,0.771
325,253.442,0.302,0.768
326,253.658,0.302,0.774
327,251.943,0.300,0.767
328,252.298,0.301,0.765
329,252.170,0.301,0.771
330,253.577,0.303,0.766
331,254.101,0.303,0.766
332,252.397,0.301,0.767
333,252.911,0.302,0.758
334,251.816,0.301,0.764
335,252.443,0.302,0.751
336,251.955,0.302,0.755
337,251.115,0.301,0.755
338,250.731,0.300,0.759
339,251.170,0.301,0.752
340,250.396,0.300,0.749
341,249.535,0.299,0.744
342,250.327,0.301,0.738
343,250.031,0.301,0.736
344,251.099,0.302,0.759
345,250.462,0.301,0.745
346,249.155,0.300,0.736
347,250.262,0.301,0.732
348,248.662,0.300,0.734
349,248.609,0.300,0.730
350,249.322,0.301,0.734
351,249.036,0.301,0.732
352,250.723,0.303,0.729
353,248.017,0.300,0.720
354,248.765,0.301,0.728
355,250.630,0.303,0.722
356,247.429,0.299,0.719
357,247.298,0.299,0.718
358,246.796,0.299,0.713
359,248.531,0.301,0.712
360,247.548,0.300,0.720
361,246.021,0.299,0.705
362,246.996,0.300,0.709
363,246.608,0.300,0.711
364,246.431,0.300,0.709
365,245.897,0.299,0.705
366,247.694,0.301,0.709
367,244.880,0.298,0.709
368,246.635,0.300,0.708
369,244.899,0.299,0.697
370,245.558,0.299,0.706
371,245.210,0.299,0.702
372,244.943,0.299,0.696
373,244.285,0.298,0.698
374,242.986,0.297,0.701
375,243.636,0.298,0.686
376,244.133,0.299,0.688
377,244.123,0.299,0.689
378,244.287,0.299,0.692
379,245.525,0.301,0.689
380,242.896,0.298,0.693
381,242.948,0.298,0.686
382,244.875,0.301,0.682
383,243.650,0.299,0.679
384,241.804,0.297,0.681
385,242.807,0.299,0.673
386,244.082,0.301,0.670
387,242.363,0.298,0.676
388,242.290,0.299,0.667
389,242.127,0.299,0.667
390,241.095,0.297,0.667
391,240.549,0.297,0.666
392,245.521,0.304,0.663
393,241.609,0.299,0.664
394,240.180,0.297,0.668
395,241.529,0.299,0.664
396,240.704,0.298,0.660
397,241.019,0.299,0.656
398,240.161,0.298,0.665
399,241.619,0.300,0.660
400,241.698,0.300,0.662
401,240.006,0.298,0.656
402,238.495,0.296,0.651
403,238.954,0.297,0.652
404,239.534,0.298,0.652
405,239.131,0.298,0.652
406,238.591,0.297,0.647
407,241.690,0.301,0.640
408,238.616,0.297,0.646
409,238.211,0.297,0.645
410,238.291,0.297,0.646
411,238.021,0.297,0.644
412,238.238,0.298,0.643
413,236.708,0.296,0.641
414,238.190,0.298,0.638
415,236.179,0.296,0.640
416,237.024,0.297,0.635
417,237.244,0.297,0.639
418,237.048,0.297,0.634
419,237.255,0.298,0.635
420,235.716,0.296,0.630
421,235.604,0.296,0.625
422,236.361,0.297,0.630
423,235.350,0.296,0.625
424,235.674,0.297,0.622
425,235.907,0.297,0.629
426,234.904,0.296,0.624
427,236.018,0.298,0.621
428,235.708,0.297,0.628
429,234.445,0.296,0.622
430,235.970,0.298,0.620
431,233.770,0.295,0.620
432,233.714,0.295,0.619
433,235.107,0.297,0.618
434,235.676,0.298,0.618
435,233.580,0.296,0.616
436,233.030,0.295,0.614
437,233.060,0.295,0.614
438,232.687,0.295,0.612
439,234.007,0.297,0.611
440,233.782,0.297,0.615
441,234.291,0.298,0.601
442,232.808,0.296,0.604
443,232.397,0.296,0.608
444,232.101,0.296,0.603
445,231.898,0.295,0.602
446,231.634,0.295,0.603
447,231.637,0.295,0.600
448,231.329,0.295,0.596
449,231.753,0.296,0.600
450,233.082,0.298,0.598
451,230.747,0.295,0.595
452,231.031,0.296,0.598
453,230.927,0.295,0.600
454,229.473,0.294,0.595
455,230.092,0.295,0.594
456,230.425,0.295,0.594
457,230.591,0.296,0.588
458,229.197,0.294,0.588
459,228.887,0.294,0.589
460,230.591,0.297,0.583
461,230.259,0.296,0.591
462,229.120,0.295,0.586
463,230.016,0.296,0.583
464,228.900,0.295,0.588
465,228.809,0.295,0.582
466,228.390,0.295,0.586
467,228.457,0.295,0.585
468,228.151,0.295,0.581
469,228.272,0.295,0.581
470,228.298,0.295,0.583
471,227.909,0.295,0.579
472,226.396,0.293,0.579
473,227.088,0.294,0.581
474,227.687,0.295,0.576
475,227.915,0.296,0.580
476,226.325,0.294,0.578
477,226.750,0.294,0.579
478,227.261,0.295,0.570
479,226.761,0.295,0.570
480,226.443,0.294,0.573
481,225.472,0.293,0.576
482,225.204,0.293,0.573
483,226.388,0.295,0.565
484,226.250,0.295,0.568
485,225.435,0.294,0.564
486,225.101,0.294,0.563
487,225.317,0.294,0.563
488,226.004,0.295,0.567
489,224.208,0.293,0.564
490,225.247,0.295,0.563
491,225.121,0.295,0.553
492,224.795,0.295,0.555
493,224.623,0.294,0.559
494,223.643,0.293,0.559
495,223.837,0.294,0.557
496,224.597,0.295,0.554
497,223.322,0.293,0.555
498,223.937,0.295,0.555
499,222.212,0.292,0.555
500,222.721,0.293,0.554
501,224.644,0.296,0.549
502,222.660,0.294,0.550
503,222.088,0.293,0.546
504,222.624,0.294,0.551
505,221.848,0.293,0.549
506,221.657,0.293,0.548
507,221.652,0.293,0.547
508,222.649,0.295,0.546
509,220.938,0.292,0.545
510,222.767,0.295,0.545
511,223.090,0.296,0.550
512,221.662,0.294,0.544
513,221.198,0.294,0.541
514,222.040,0.295,0.542
515,221.208,0.294,0.540
516,219.971,0.292,0.541
517,220.198,0.293,0.544
518,219.539,0.292,0.541
519,220.916,0.294,0.537
520,221.155,0.295,0.532
521,220.236,0.294,0.540
522,219.798,0.293,0.538
523,218.303,0.292,0.530
524,219.069,0.293,0.533
525,219.279,0.293,0.530
526,218.016,0.292,0.532
527,218.869,0.293,0.532
528,219.312,0.294,0.531
529,219.214,0.294,0.528
530,219.096,0.294,0.530
531,219.128,0.294,0.523
532,217.530,0.292,0.527
533,217.781,0.293,0.524
534,218.301,0.294,0.523
535,217.491,0.293,0.527
536,218.567,0.294,0.524
537,217.744,0.293,0.525
538,217.489,0.293,0.521
539,215.983,0.291,0.516
540,215.593,0.291,0.517
541,215.579,0.291,0.516
542,215.411,0.291,0.516
543,217.128,0.294,0.515
544,215.324,0.291,0.520
545,215.289,0.292,0.515
546,215.735,0.292,0.516
547,215.226,0.292,0.510
548,216.054,0.293,0.515
549,217.948,0.296,0.513
550,215.984,0.293,0.512
551,214.934,0.292,0.510
552,215.763,0.294,0.510
553,214.773,0.292,0.507
554,215.021,0.293,0.510
555,214.095,0.292,0.502
556,214.455,0.292,0.508
557,214.235,0.292,0.504
558,214.335,0.293,0.505
559,212.778,0.291,0.506
560,214.504,0.293,0.505
561,213.396,0.292,0.509
562,213.620,0.292,0.501
563,214.619,0.294,0.500
564,214.222,0.294,0.499
565,211.662,0.290,0.502
566,212.747,0.292,0.498
567,213.687,0.294,0.500
568,212.195,0.291,0.502
569,212.645,0.292,0.497
570,211.730,0.291,0.494
571,213.641,0.294,0.493
572,211.401,0.291,0.494
573,211.753,0.292,0.494
574,211.654,0.292,0.495
575,211.189,0.291,0.498
576,211.887,0.293,0.491
577,212.112,0.293,0.490
578,210.406,0.291,0.491
579,210.254,0.291,0.492
580,210.141,0.291,0.490
581,211.065,0.293,0.488
582,209.689,0.291,0.493
583,209.966,0.291,0.488
584,210.336,0.292,0.485
585,208.601,0.290,0.485
586,210.294,0.292,0.487
587,209.096,0.291,0.480
588,209.423,0.291,0.488
589,210.134,0.293,0.485
590,208.642,0.291,0.486
591,208.730,0.291,0.481
592,209.896,0.293,0.478
593,210.481,0.294,0.479
594,208.592,0.291,0.482
595,208.886,0.292,0.477
596,208.368,0.292,0.477
597,208.007,0.291,0.476
598,207.547,0.291,0.479
599,208.301,0.292,0.474
600,207.208,0.291,0.478
601,206.648,0.290,0.480
602,206.727,0.291,0.470
603,207.098,0.291,0.475
604,207.080,0.291,0.477
605,206.069,0.290,0.468
606,208.494,0.294,0.465
607,206.770,0.292,0.469
608,205.041,0.289,0.472
609,207.324,0.293,0.466
610,205.308,0.290,0.466
611,205.620,0.291,0.470
612,205.867,0.291,0.465
613,205.911,0.291,0.469
614,204.266,0.289,0.466
615,207.824,0.295,0.465
616,205.489,0.291,0.465
617,207.246,0.294,0.459
618,205.103,0.291,0.463
619,205.035,0.291,0.462
620,204.906,0.291,0.462
621,203.250,0.289,0.459
622,202.561,0.288,0.463
623,203.616,0.290,0.461
624,204.145,0.291,0.451
625,202.473,0.289,0.456
626,203.765,0.291,0.456
627,203.262,0.290,0.457
628,204.276,0.292,0.458
629,204.201,0.292,0.452
630,202.302,0.290,0.453
631,202.787,0.291,0.452
632,202.729,0.291,0.453
633,202.114,0.290,0.455
634,201.735,0.290,0.454
635,202.413,0.291,0.454
636,202.456,0.291,0.451
637,201.806,0.290,0.454
638,202.381,0.292,0.446
639,201.775,0.291,0.449
640,202.489,0.292,0.444
641,201.377,0.290,0.449
642,202.278,0.292,0.445
643,200.871,0.290,0.441
644,200.152,0.289,0.447
645,200.083,0.289,0.446
646,200.870,0.291,0.438
647,200.054,0.290,0.438
648,199.672,0.289,0.441
649,201.723,0.293,0.441
650,200.001,0.290,0.440
651,199.293,0.289,0.445
652,199.875,0.291,0.439
653,200.049,0.291,0.440
654,198.884,0.290,0.434
655,199.636,0.291,0.433
656,198.718,0.290,0.437
657,198.345,0.289,0.435
658,198.412,0.290,0.434
659,198.859,0.291,0.435
660,196.927,0.288,0.435
661,198.107,0.290,0.435
662,197.789,0.290,0.432
663,198.394,0.291,0.434
664,198.393,0.291,0.433
665,199.643,0.293,0.429
666,197.667,0.290,0.433
667,196.253,0.288,0.430
668,197.233,0.290,0.433
669,195.579,0.288,0.428
670,196.944,0.290,0.424
671,198.448,0.292,0.432
672,196.102,0.289,0.427
673,195.224,0.288,0.429
674,195.643,0.289,0.425
675,194.892,0.288,0.430
676,196.383,0.290,0.425
677,196.068,0.290,0.423
678,196.890,0.292,0.425
679,195.194,0.289,0.425
680,194.981,0.289,0.422
681,194.485,0.289,0.421
682,194.570,0.289,0.420
